"","glom","sample size","rich.mean","rich.sd","shan.mean","shan.sd","lev.mean","lev.sd","st.lev.mean","st.lev.sd"
"GWTS_France","MOTU","23","213","0","5.03276120842504","0","101.709352517986","0","0.475044115650876","0"
"GWTS_Ireland","MOTU","23","196.52","13.8479203478062","5.0549773694581","0.0767359860754234","115.423383583226","10.7550082970903","0.584935929213271","0.0305442467135171"
"Pygmy_France","MOTU","23","181.16","7.50607916890009","4.97263371472062","0.0464278137737075","105.731908141309","6.20221719171567","0.581270729274157","0.0226486409257184"
"Pygmy_Ireland","MOTU","23","216.06","14.9590052053836","5.10172697567816","0.0885300385664167","108.722804209602","13.9925749858197","0.499952958428069","0.0456733907108459"
"GWTS_France","species","23","129","0","4.43629881520213","0","56.8639053254438","0","0.43643676035503","0"
"GWTS_Ireland","species","23","116.58","6.91667609211717","4.46322562243875","0.0653161381011777","64.7224849889847","4.88976575351759","0.551303157421308","0.026563146426872"
"Pygmy_France","species","23","138.12","3.90520322709305","4.64176630403254","0.0358372756505067","74.6336402316627","3.50571165332083","0.536852348182845","0.0156758576953893"
"Pygmy_Ireland","species","23","151.76","11.0093837526105","4.66799042876465","0.0768292107545151","68.9210315187146","6.23600058196501","0.450706053693638","0.0276634544756282"
"GWTS_France","genus","23","104","0","4.19393225060232","0","44.7220579538735","0","0.424485999552169","0"
"GWTS_Ireland","genus","23","92.02","5.2430323053651","4.14536500947111","0.0605620656724086","43.7961047627609","3.13271945426662","0.470255253381012","0.0223319197181796"
"Pygmy_France","genus","23","119.42","4.21411621935182","4.48866175226534","0.0438731783480781","65.5214923367243","3.42464479254827","0.544653251319864","0.0156511868869675"
"Pygmy_Ireland","genus","23","124.6","7.39553091745416","4.41312928633509","0.0703646462828555","54.0342050772693","4.63012190711462","0.429203377292895","0.0292839071835826"
"GWTS_France","family","23","78","0","3.91937005881109","0","34.984468339307","0","0.441356731679312","0"
"GWTS_Ireland","family","23","67.8","3.63093286489681","3.79164892216161","0.0576892113314106","29.8262897409476","2.08320404215249","0.431657107102836","0.0228056489704585"
"Pygmy_France","family","23","79.74","1.81614078389831","4.08929995706651","0.0283890798116259","47.5763644549772","1.66940872644374","0.5914907247523","0.0150776251535314"
"Pygmy_Ireland","family","23","80.32","4.42368393896272","3.97960151230272","0.0647167873332949","38.8577081245268","2.83225618268447","0.477435288238507","0.0267971117726362"
"GWTS_France","order","23","30","0","3.0972691314511","0","18.5241090146751","0","0.604279621195692","0"
"GWTS_Ireland","order","23","26.22","1.52917211161425","2.89825805638279","0.0369845334278282","14.2713507145875","0.647969823701994","0.527904104039726","0.0379513935518653"
"Pygmy_France","order","23","26.16","1.0946996606096","2.9066229346457","0.0327113514493224","15.4521456769499","0.468704321770828","0.574905845715415","0.0173297972754984"
"Pygmy_Ireland","order","23","24.66","1.61131205252497","2.86971918066399","0.0454823874602376","15.0553202116985","0.681897278181406","0.595925825629338","0.0383412984150673"
